file,time,date,hr_bpm,pace_sec_per_km,pace_min_per_km,grade_percent,distance_m,duration_s,num_points,fits_criteria
19403104062.fit.gz,2026-04-28 23:18:49.500,2026-04-28,133.0,359.7989949748744,5.9966499162479066,-9.045226130653266,497.5,179.0,180,False
19403104062.fit.gz,2026-04-28 23:21:49.500,2026-04-28,130.9,462.5322997416021,7.7088716623600355,-9.819121447028424,387.0,179.0,180,False
19403104062.fit.gz,2026-04-28 23:24:49.500,2026-04-28,130.82777777777778,509.97150997151,8.499525166191834,-11.11111111111111,351.0,179.0,180,False
19403104062.fit.gz,2026-04-28 23:27:49.500,2026-04-28,136.80555555555554,441.43033292231814,7.357172215371969,-5.9186189889025895,405.5,179.0,180,False
19403104062.fit.gz,2026-04-28 23:36:49.500,2026-04-28,128.5182481751825,553.3230293663061,9.222050489438434,-13.910355486862443,323.5,179.0,137,False
19403104062.fit.gz,2026-04-28 23:39:49.500,2026-04-28,138.92222222222222,404.51977401129943,6.7419962335216574,-11.299435028248588,442.5,179.0,180,False
19403104062.fit.gz,2026-04-28 23:42:49.500,2026-04-28,131.2722222222222,382.47863247863245,6.3746438746438745,-10.47008547008547,468.0,179.0,180,False
19403104062.fit.gz,2026-04-28 23:45:49.500,2026-04-28,137.9611111111111,366.0531697341513,6.100886162235855,-2.4539877300613497,489.0,179.0,180,False
19403104062.fit.gz,2026-04-28 23:48:49.500,2026-04-28,143.5222222222222,346.8992248062016,5.781653746770027,-1.744186046511628,516.0,179.0,180,False
19403104062.fit.gz,2026-04-28 23:51:49.500,2026-04-28,149.03333333333333,332.7137546468402,5.545229244114003,-0.5576208178438662,538.0,179.0,180,False
19417483935.fit.gz,2026-04-29 23:17:48.500,2026-04-29,141.8388888888889,328.4403669724771,5.474006116207951,0.1834862385321101,545.0,179.0,180,False
19417483935.fit.gz,2026-04-29 23:20:48.500,2026-04-29,138.17763157894737,434.4660194174757,7.241100323624595,1.4563106796116505,412.0,179.0,152,False
19417483935.fit.gz,2026-04-29 23:23:48.500,2026-04-29,140.44444444444446,373.6951983298539,6.228253305497565,1.0438413361169103,479.0,179.0,180,False
19417483935.fit.gz,2026-04-29 23:26:48.500,2026-04-29,139.431654676259,573.7179487179487,9.561965811965813,6.089743589743589,312.0,179.0,139,False
19417483935.fit.gz,2026-04-29 23:35:48.500,2026-04-29,151.8111111111111,730.6122448979592,12.176870748299319,13.877551020408163,245.0,179.0,180,False
19417483935.fit.gz,2026-04-29 23:38:44.500,2026-04-29,150.81976744186048,462.78755074424896,7.7131258457374825,6.2246278755074425,369.5,171.0,172,False
19417483935.fit.gz,2026-04-29 23:44:48.500,2026-04-29,163.3465909090909,532.7380952380952,8.878968253968253,10.714285714285714,336.0,179.0,176,False
19417483935.fit.gz,2026-04-29 23:47:48.500,2026-04-29,155.62857142857143,748.9539748953976,12.482566248256626,12.133891213389122,239.0,179.0,140,False
19417483935.fit.gz,2026-04-30 00:02:48.500,2026-04-30,147.8111111111111,408.675799086758,6.811263318112633,2.0547945205479454,438.0,179.0,180,False
19417483935.fit.gz,2026-04-30 00:14:48.500,2026-04-30,151.92777777777778,643.884892086331,10.731414868105515,12.23021582733813,278.0,179.0,180,False
19417483935.fit.gz,2026-04-30 00:17:48.500,2026-04-30,132.73888888888888,1017.0454545454546,16.950757575757578,9.090909090909092,176.0,179.0,180,False
19417483935.fit.gz,2026-04-30 00:20:48.500,2026-04-30,142.2,922.680412371134,15.378006872852234,14.948453608247423,194.0,179.0,180,False
19417483935.fit.gz,2026-04-30 00:23:48.500,2026-04-30,128.01666666666668,922.680412371134,15.378006872852234,6.701030927835052,194.0,179.0,180,False
19417483935.fit.gz,2026-04-30 00:26:48.500,2026-04-30,102.34444444444445,2796.875,46.614583333333336,-9.375,64.0,179.0,180,False
19417483935.fit.gz,2026-04-30 00:29:48.500,2026-04-30,120.68888888888888,2081.3953488372094,34.689922480620154,26.74418604651163,86.0,179.0,180,False
19417483935.fit.gz,2026-04-30 00:32:48.500,2026-04-30,134.47222222222223,1485.4771784232366,24.75795297372061,24.066390041493776,120.5,179.0,180,False
19417483935.fit.gz,2026-04-30 00:35:48.500,2026-04-30,145.21666666666667,1570.1754385964912,26.16959064327485,29.82456140350877,114.0,179.0,180,False
19417483935.fit.gz,2026-04-30 00:38:48.500,2026-04-30,105.30555555555556,3442.3076923076924,57.371794871794876,-3.8461538461538463,52.0,179.0,180,False
19417483935.fit.gz,2026-04-30 00:41:48.500,2026-04-30,98.86666666666666,5507.692307692308,91.7948717948718,-27.692307692307693,32.5,179.0,180,False
19417483935.fit.gz,2026-04-30 00:44:48.500,2026-04-30,102.40555555555555,1688.6792452830189,28.144654088050313,-17.92452830188679,106.0,179.0,180,False
19417483935.fit.gz,2026-04-30 00:47:48.500,2026-04-30,107.76666666666667,1563.3187772925764,26.055312954876275,-11.353711790393014,114.5,179.0,180,False
19417483935.fit.gz,2026-04-30 00:50:48.500,2026-04-30,101.97777777777777,1584.070796460177,26.40117994100295,-17.699115044247787,113.0,179.0,180,False
19417483935.fit.gz,2026-04-30 00:53:48.500,2026-04-30,101.93888888888888,1479.3388429752065,24.655647382920108,-19.00826446280992,121.0,179.0,180,False
19417483935.fit.gz,2026-04-30 00:56:48.500,2026-04-30,124.52777777777777,617.2413793103449,10.28735632183908,-8.96551724137931,290.0,179.0,180,False
19417483935.fit.gz,2026-04-30 00:59:48.500,2026-04-30,115.12777777777778,846.3356973995271,14.105594956658786,-11.82033096926714,211.5,179.0,180,False
19417483935.fit.gz,2026-04-30 01:02:48.500,2026-04-30,131.84444444444443,451.4501891551072,7.524169819251786,-9.079445145018916,396.5,179.0,180,False
19417483935.fit.gz,2026-04-30 01:05:48.500,2026-04-30,147.26666666666668,609.8807495741056,10.164679159568427,1.7035775127768313,293.5,179.0,180,False
19417483935.fit.gz,2026-04-30 01:08:48.500,2026-04-30,153.25,501.40056022408965,8.356676003734828,4.481792717086835,357.0,179.0,180,False
19417483935.fit.gz,2026-04-30 01:11:48.500,2026-04-30,139.98888888888888,390.4034896401309,6.506724827335515,-1.7448200654307524,458.5,179.0,180,False
19417483935.fit.gz,2026-04-30 01:14:48.500,2026-04-30,141.42777777777778,344.5620789220404,5.7427013153673405,-6.737247353224254,519.5,179.0,180,False
19417483935.fit.gz,2026-04-30 01:17:48.500,2026-04-30,138.4,378.83597883597884,6.313932980599647,-7.195767195767195,472.5,179.0,180,False
19417483935.fit.gz,2026-04-30 01:20:48.500,2026-04-30,136.06666666666666,323.98190045248873,5.399698340874812,-9.411764705882353,552.5,179.0,180,False
19417483935.fit.gz,2026-04-30 01:29:48.500,2026-04-30,131.59444444444443,352.3622047244094,5.8727034120734904,-4.133858267716535,508.0,179.0,180,False
19417483935.fit.gz,2026-04-30 01:32:48.500,2026-04-30,127.8,396.4562569213732,6.607604282022887,-5.980066445182724,451.5,179.0,180,False
19417483935.fit.gz,2026-04-30 01:35:48.500,2026-04-30,126.40601503759399,500.0,8.333333333333334,-4.189944134078212,358.0,179.0,133,False
19430363002.fit.gz,2026-05-01 01:34:44.500,2026-05-01,160.46666666666667,375.2620545073375,6.254367575122291,4.612159329140461,477.0,179.0,180,False
19430363002.fit.gz,2026-05-01 01:37:44.500,2026-05-01,160.76666666666668,381.6631130063966,6.361051883439943,4.690831556503198,469.0,179.0,180,False
19430363002.fit.gz,2026-05-01 01:40:44.500,2026-05-01,159.48333333333332,441.43033292231814,7.357172215371969,6.905055487053021,405.5,179.0,180,False
19430363002.fit.gz,2026-05-01 01:43:44.500,2026-05-01,162.39444444444445,404.0632054176072,6.73438675696012,4.74040632054176,443.0,179.0,180,False
19430363002.fit.gz,2026-05-01 01:46:44.500,2026-05-01,152.4345238095238,830.6264501160093,13.843774168600156,11.136890951276103,215.5,179.0,168,False
19430363002.fit.gz,2026-05-01 01:49:44.500,2026-05-01,165.82222222222222,1005.6179775280898,16.760299625468164,26.40449438202247,178.0,179.0,180,False
19430363002.fit.gz,2026-05-01 01:52:44.500,2026-05-01,163.04444444444445,1068.6567164179103,17.810945273631837,26.26865671641791,167.5,179.0,180,False
19430363002.fit.gz,2026-05-01 02:01:44.500,2026-05-01,124.80555555555556,834.4988344988345,13.90831390831391,-28.43822843822844,214.5,179.0,180,False
19430363002.fit.gz,2026-05-01 02:04:44.500,2026-05-01,120.95555555555555,773.2181425485961,12.886969042476602,-24.622030237580994,231.5,179.0,180,False
19430363002.fit.gz,2026-05-01 02:07:44.500,2026-05-01,128.45,920.3084832904884,15.33847472150814,-18.508997429305914,194.5,179.0,120,False
19430363002.fit.gz,2026-05-01 02:10:44.500,2026-05-01,151.57222222222222,282.11189913317577,4.7018649855529295,-5.200945626477542,634.5,179.0,180,False
19430363002.fit.gz,2026-05-01 02:13:44.500,2026-05-01,138.79444444444445,321.65318957771785,5.360886492961964,-5.750224618149146,556.5,179.0,180,False
19430363002.fit.gz,2026-05-01 02:16:44.500,2026-05-01,141.20555555555555,303.13293818797626,5.052215636466271,-5.4191363251481794,590.5,179.0,180,False
19430363002.fit.gz,2026-05-01 02:19:44.500,2026-05-01,147.39444444444445,317.3758865248227,5.289598108747045,-1.7730496453900708,564.0,179.0,180,False
19430363002.fit.gz,2026-05-01 02:22:44.500,2026-05-01,132.94594594594594,1772.2772277227723,29.53795379537954,-8.910891089108912,101.0,179.0,37,False
19430363002.fit.gz,2026-05-01 02:25:44.500,2026-05-01,129.48958333333334,633.6283185840707,10.560471976401178,-3.185840707964602,282.5,179.0,96,False
19430363002.fit.gz,2026-05-01 02:28:33.000,2026-05-01,143.64331210191082,302.3255813953488,5.038759689922481,-3.682170542635659,516.0,156.0,157,False
19443475158.fit.gz,2026-05-01 21:49:59.500,2026-05-01,155.46666666666667,431.84559710494574,7.197426618415762,5.066344993968637,414.5,179.0,180,False
19443475158.fit.gz,2026-05-01 21:52:59.500,2026-05-01,156.40555555555557,394.273127753304,6.5712187958884,3.0837004405286343,454.0,179.0,180,False
19443475158.fit.gz,2026-05-01 21:55:59.500,2026-05-01,172.34444444444443,481.8304172274562,8.030506953790937,11.036339165545087,371.5,179.0,180,False
19443475158.fit.gz,2026-05-01 21:58:59.500,2026-05-01,174.13888888888889,516.5945165945166,8.60990860990861,12.121212121212121,346.5,179.0,180,False
19443475158.fit.gz,2026-05-01 22:01:59.500,2026-05-01,162.38888888888889,634.7517730496454,10.57919621749409,12.76595744680851,282.0,179.0,180,False
19443475158.fit.gz,2026-05-01 22:04:59.500,2026-05-01,170.0611111111111,836.4485981308411,13.940809968847352,17.289719626168225,214.0,179.0,180,False
